,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor
1866,2-s2.0-85068203605,10.1117/12.2513199,,,Active hydrogel composite membranes for the analysis of cell size distributions,cp,Conference Paper,Ehrenhofer A.,60117057,Technische Universität Dresden Institut für Festkörpermechanik,Dresden,Germany,2,"Ehrenhofer, Adrian;Wallmersperger, Thomas",57188759919;6602584923,60117057;60117057,2019-01-01,2019,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,40067,1996756X,Conference Proceeding,10968,,1096815,,"© 2019 COPYRIGHT SPIE. Downloading of the abstract is permitted for personal use only. Active membranes with switchable pores that are based on hydrogels can be used to measure the cell size distribution in blood samples. The system investigated in the present research is based on a polyethylene terephthalate (PET) membrane that is surface polymerized with poly(N-isopropyl acrylamide) (PNiPAAm) to form active pores of arbitrary geometry. The PET membrane provides the functionality of a backbone for mechanical rigidity, while the soft PNiPAAm hydrogel forms the active pores. Modeling and simulation of the active hydrogel behavior proved to adequately predict the opening and closing of the pores under application of an activating stimulus, e.g. temperature. The applied model is called Temperature-Expansion-Model and uses the analogy of thermal expansion to model the volume swelling of hydrogels. The Normalized Extended Temperature-Expansion-Model can englobe arbitrary hydrogels and large geometric displacements. Studies of pore opening-performed by using commercial finite element tools-show good agreement of the experimentally measured shape change of active pores. Based on these studies, the particulate fluid flow through the switchable pores is analyzed. Through application of a membrane process, i.e. a given variation of applied pressure and switching stimulus for the hydrogel, the size profile of the blocking particles can be measured directly using the flux difference under constant pressure. This allows the measurement of the cell size distribution in blood samples, e.g. to detect circulating tumor cells or anomalies in the distribution that hint to anemia.",Hydrogels | Microuidics | Modeling and Simulation | Particle Separation | Permeation control membranes,0,0,TUD,undefined,Technische Universität Dresden
1867,2-s2.0-85053218869,10.1016/j.jmps.2018.08.001,S0022509618301662,,A general framework for the modeling of porous ferrogels at finite strains,ar,Article,Gebhart P.,60117057,Technische Universität Dresden Institut für Festkörpermechanik,Dresden,Germany,2,"Gebhart, Philipp;Wallmersperger, Thomas",57221113802;6602584923,60117057;60117057,2019-01-01,January 2019,Journal of the Mechanics and Physics of Solids,00225096,14428,,Journal,122,,,69-83,"© 2018 Elsevier Ltd Porous ferrogels are a new class of magneto-active composite materials that deform and alter their material characteristics under the influence of magnetic fields. In the future such materials could find a wide range of application in biomedicine and microfluidics. In this work we present a theoretical and computational framework for the macroscopic, continuum-based modeling of porous ferrogels at finite strains. Departing from the balance laws of continuum mechanics, we derive a thermodynamically consistent model based on Biot's consolidation theory. Regarding constitutive modeling we limit our attention to isotropic materials. Furthermore we discuss details of the numerical implementation of the coupled three field problem within a nonlinear finite element algorithm. The modeling capabilities and algorithmic performance are demonstrated by means of two representative initial boundary value problems.",Finite element analysis | Large deformations | Magneto-active materials | Magneto-poro-mechanics | Magnetoelasticity | Porous ferrogels | Porous media,11,0,DFG,WA 2323/8,Deutsche Forschungsgemeinschaft
1868,2-s2.0-85079252034,10.1201/9780429426506-46,,,Hydrogels – a macroscopic approach based on microscopic physics,cp,Conference Paper,Keller K.,60018353;60015815,Technische Universität Dresden;Universität Stuttgart,Dresden;Stuttgart,Germany;Germany,3,"Keller, K.;Ricken, T.;Wallmersperger, T.",55417168500;55915895700;6602584923,60015815;60015815;60018353,2019-01-01,2019,"Advances in Engineering Materials, Structures and Systems: Innovations, Mechanics and Applications - Proceedings of the 7th International Conference on Structural Engineering, Mechanics and Computation, 2019",,21100944651,,Conference Proceeding,,,,274-278,"© 2019 Taylor  &  Francis Group, London, UK. As a smart material, hydrogels react to different stimuli. These could be – for example – of chemical, electrical, mechanical or thermal nature. The hydrogels consist of a more or less crosslinked polyelectrolytic polymer network, depending on the conditions, components, and time spent for its fabrication. The reaction of these stimulated hydrogels is to uptake or deliver ions with hydration shells or solvent, followed by e.g. an elongation or bending deformation of the gels. Gels can reach enormous swelling ratios and are applicable as actuators, energy converters or sensors. In the present approach, the underlying physical phenomena of the chemical, electrical as well as of the mechanical field are incorporated in a homogenized way by using different partial differential equations. Local effects, e.g. the osmotic pressure differences in the mechanical field, are derived over reference and local concentrations. Depending on the type of the stimulus, the hydrogel reaction is more or less sensitive. For example, the mechanical reaction under chemical stimulation is far beyond the reaction under electrical stimulation. The applied coupled multi-field formulation is capable of providing local concentrations, electric potential distributions and displacements. The hydrogel model of a finger gripper is formulated by the use of finite elements. For the simulation the Newton-Raphson method and implicit Euler time integration are applied. Here only small volume changes, corresponding swelling ratios and deformations are considered. The results to different kinds of stimulation will be presented.",,0,0,,undefined,
1869,2-s2.0-85074779553,10.1098/rspa.2019.0174,,,Swelling and shrinking in prestressed polymer gels: An incremental stress-diffusion analysis,ar,Article,Rossi M.,60032350;60018353,Università degli Studi di Roma La Sapienza;Technische Universität Dresden,Rome;Dresden,Italy;Germany,3,"Rossi, Marco;Nardinocchi, Paola;Wallmersperger, Thomas",57199500225;6602452349;6602584923,60018353;60032350;60018353,2019-01-01,2019,"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",13645021,144604,14712946,Journal,475,2230,20190174,,"© 2019 The Author(s) Published by the Royal Society. All rights reserved. Polymer gels are porous fluid-saturated materials which can swell or shrink triggered by various stimuli. The swelling/shrinking-induced deformation can generate large stresses which may lead to the failure of the material. In the present research, a nonlinear stress-diffusion model is employed to investigate the stress and the deformation state arising in hydrated constrained polymer gels when subject to a varying chemical potential. Two different constraint configurations are taken into account: (i) elastic constraint along the thickness direction and (ii) plane elastic constraint. The first step entirely defines a compressed/tensed configuration. From there, an incremental chemo-mechanical analysis is presented. The derived model extends the classical linear poroelastic theory with respect to a prestressed configuration. Finally, the comparison between the analytical results obtained by the proposed model and a particular problem already discussed in literature for a stress-free gelmembrane (one-dimensional test case) will highlight the relevance of the derived model.",Active materials | Incremental analysis | Polymer gels | Prestressed state | Stress-diffusion theory | Swelling/shrinking,2,0,EGU,100231947,European Geosciences Union
1870,2-s2.0-85069774103,10.1117/12.2513180,,,Experimental determination of material parameters for an enhanced modeling of polyelectrolyte gels,cp,Conference Paper,Mau B.,60117057;60018353,Technische Universität Dresden Institut für Festkörpermechanik;Technische Universität Dresden,Dresden;Dresden,Germany;Germany,4,"Mau, Beatrice;Erfkamp, Jan;Guenther, Margarita;Wallmersperger, Thomas",57210172208;57201472928;7006449611;6602584923,60117057;60018353;60018353;60117057,2019-01-01,2019,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,40067,1996756X,Conference Proceeding,10966,,109661O,,"© COPYRIGHT SPIE. Downloading of the abstract is permitted for personal use only. Stimuli-responsive hydrogels are polymer gels possessing the ability to absorb or release solvent, resulting in a respective change of volume. This volume change can be triggered by applying a chemical or electrical stimulus to the gels placed in a solution bath. To describe the chemo-electro-mechanical behavior of these hydrogels in the framework of the Theory of Porous Media, they have to be subdivided in a solid phase, fluid phase and an ionic phase. In this theory, the interaction of the different phases is directly incorporated. Due to the complexity of both, the material and the model, a large amount of material parameters is essential. The determination of these parameters is a challenging task. In this investigation, also the interaction between hydrogel (solid and fluid phase) and surrounding solution bath has to be considered in order to determine the viscoelastic behavior of the gel. Hence, in the present work, polyelectrolyte hydrogels are investigated in consideration of the mechanical characteristics via a tensile test. In the experimental setup the stress is determined by a force sensor and the deformation is analyzed by using a gray scale correlation. Due to the fact, that the mechanical behavior of such multiphasic materials depends on the solid-fluid ratio, the gel is investigated under different swelling degrees. The acquired data then can be used to enhance the material equations. So, an enhanced prediction towards possible applications is gained.",Experimental investigations | Material parameters | Mechanical behavior | Polyelectrolyte gels,1,0,DFG,DFG-GRK 1865,Deutsche Forschungsgemeinschaft
1977,2-s2.0-85077803120,10.30419/TuS-2019-0030,,,Investigations on a-C:H:Me coated deep groove ball bearings under dry running conditions,ar,Article,Kröner J.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,3,"Kröner, Julia;Tremmel, Stephan;Wartzack, Sandro",57195528336;14016802100;6506007420,60000765;60000765;60000765,2019-12-01,December 2019,Tribologie und Schmierungstechnik,07243472,14370,,Journal,66,6,,33-39,"© 2019 Expert Verlag. All rights reserved. Under extreme environmental conditions or due to restrictions oil- or grease-lubricated standard rolling bearings can only be used to a limited extent or not at all. Existing solutions are expensive due to the special materials or lubricants used or have only a very limited service life. The alternative approach presented here involves the use of cost-effective standard rolling bearings, which have been modified with a friction and wear-reducing coating on individual components of the rolling bearing. Radial deep groove ball bearings of type 6206 are tested in operating life tests on a four bearing test rig. All investigated coating systems are described in the literature as basically usable under dry running conditions and normal atmosphere: Graphite, titanated molybdenum disulfide (MoS2:Ti), a modified (a-C:H:X) and a metal-containing hydrogen-containing amorphous carbon coating (a-C:H:Me). The different coating systems were applied to the raceways of the rolling bearing using PVD or PACVD processes and tested with both steel and ceramic balls. The results of these experiments in terms of operating life, tribological behaviour and, in particular, the repeatability of the results will be presented in this paper.",Amorphous carbon coating | Component test | Deep groove ball bearings | Dry running | Four bearing test rig | Operating life | PVD coating,0,0,,undefined,
1978,2-s2.0-85065035684,10.1016/j.triboint.2019.03.052,S0301679X19301720,,"Designing surface textures for EHL point-contacts - Transient 3D simulations, meta-modeling and experimental validation",ar,Article,Marian M.,60033241;60012464;60000765,Universität des Saarlandes;Universidad de Chile;Friedrich-Alexander-Universität Erlangen-Nürnberg,Saarbrucken;Santiago;Erlangen,Germany;Chile;Germany,6,"Marian, Max;Grützmacher, Philipp;Rosenkranz, Andreas;Tremmel, Stephan;Mücklich, Frank;Wartzack, Sandro",57194065823;57147567600;55480862200;14016802100;7004876903;6506007420,60000765;60033241;60012464;60000765;60033241;60000765,2019-09-01,September 2019,Tribology International,0301679X,22116,,Journal,137,,,152-163,"© 2019 Elsevier Ltd Micro-textures applied on rubbing surfaces have gained tremendous attention in the tribological community. Numerous studies deal with the deduction and testing of beneficial micro-textures. Nevertheless, not all questions have been answered yet. Will texturing really deliver as good effects as frequently claimed? Are there optimum texture designs? Are there occasions where texturing could enhance the tribological performance but is questionable from other perspectives? Therefore, ball-on-disc experiments are carried out with a special emphasis on the relative position of micro-texture and counter body. Furthermore, transient EHL simulations are performed, addressing the effects of structural parameters and relative texture's position on the tribological performance. Finally, meta-modeling with subsequent optimization is applied to predict numerically derived optima and robust texture designs.",Elastohydrodynamic lubrication | Optimization | Surface texturing | Texture design,12,0,DFG,11180121,Deutsche Forschungsgemeinschaft
1979,2-s2.0-85064745766,10.1002/jor.24299,,30977547.0,New Design Process for Anatomically Enhanced Osteosynthesis Plates,ar,Article,Tkany L.,60020034;60000765;120887762,Stryker Corporation;Friedrich-Alexander-Universität Erlangen-Nürnberg;Professor for Innovative Concepts and Technologies in Healthcare,Kalamazoo;Erlangen;Weiden,United States;Germany;Germany,6,"Tkany, Luisa;Hofstätter, Bernhard;Petersik, Andreas;Miehling, Jörg;Wartzack, Sandro;Sesselmann, Stefan",57194429052;57204138929;57208940099;55957750200;6506007420;55843425500,60020034-60000765;60020034;60020034;60000765;60000765;120887762,2019-07-01,July 2019,Journal of Orthopaedic Research,07360266,12239,1554527X,Journal,37,7,,1508-1517,"© 2019 Orthopaedic Research Society. Published by Wiley Periodicals, Inc. This study evaluated the implementation and effectiveness of an iterative process aimed to quantify and enhance the anatomical fit of an osteosynthesis plate design for the fifth metacarpal bone regarding a defined shape-based acceptance criterion (SAC) while complying with basic clinical requirements and engineering limitations. The process was based on employing virtual tools (a database of individual three-dimensional bone models, statistical analysis of the bone geometry, and proprietary software tools) to evaluate conformity between plate designs and bone shape. The conformity was quantified by the mean distance between plate and bone (MBP). The enhancement was completed when the median MBP of the population was below the SAC threshold. This was fulfilled by the third plate design (two enhancement iterations). The intentionally abstract enhancement process may serve as a guideline for development of plate designs for other indications. © 2019 Orthopaedic Research Society. Published by Wiley Periodicals, Inc. J Orthop Res 37:1508–1517, 2019.",3D bone database | anatomical design | metacarpal 5 fracture | osteosynthesis plate | shape enhancement,2,1,,undefined,
1980,2-s2.0-85064499673,10.1080/10255842.2019.1601179,,30987457.0,Optimal control simulation predicts effects of midsole materials on energy cost of running,ar,Article,Dorschky E.,60109254;60004154;60000765,Adidas AG;Cleveland State University;Friedrich-Alexander-Universität Erlangen-Nürnberg,Herzogenaurach;Cleveland;Erlangen,Germany;United States;Germany,7,"Dorschky, Eva;Krüger, Daniel;Kurfess, Nicolai;Schlarb, Heiko;Wartzack, Sandro;Eskofier, Bjoern M.;van den Bogert, Antonie J.",57163931800;55135219900;57208329140;37016659200;6506007420;26428080900;35563133000,60000765;60000765;60000765;60109254;60000765;60000765;60004154,2019-06-11,11 June 2019,Computer Methods in Biomechanics and Biomedical Engineering,10255842,17954,14768259,Journal,22,8,,869-879,"© 2019, © 2019 Informa UK Limited, trading as Taylor  &  Francis Group. Testing sports equipment with athletes is costly, time-consuming, hazardous and sometimes impracticable. We propose a method for virtual testing of running shoes and predict how midsoles made of BOOSTTM affect energy cost of running. We contribute a visco-elastic contact model and identified model parameters based on load-displacement measurements. We propose a virtual study using optimal control simulation of musculoskeletal models. The predicted reduction in energy cost of (Formula presented.) for BOOSTTM in comparison to conventional materials is consistent with experimental studies. This indicates that the proposed method is capable of replacing experimental studies in the future.",footwear | musculoskeletal simulation | running | Virtual design,3,0,DFG,ES 434/8-1,Deutsche Forschungsgemeinschaft
1981,2-s2.0-85079755199,10.1017/dsi.2019.275,,,Design for composites: Derivation of manufacturable geometries for unidirectional tape laying,cp,Conference Paper,Voelkl H.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,3,"Voelkl, Harald;Kießkalt, Andreas;Wartzack, Sandro",57204214792;57215062764;6506007420,60000765;60000765;60000765,2019-01-01,2019,"Proceedings of the International Conference on Engineering Design, ICED",22204334,21100291832,22204342,Conference Proceeding,2019-August,,,2687-2696,"© 2019 Design Society. All rights reserved. Even though providing excellent specific stiffness and strength properties, high specific energy absorption and a great degree of design freedom, fibre-reinforced plastics still have to make their way into higher volume applications. Addressing the manufacturing challenges, particularly efficient production techniques are Automated Tape Laying (ATL) and Automated Fiber Placement (AFP), as pointed out by various studies and use cases. However, current Computer Aided Engineering approaches for optimised laminate design still lack the capability to produce results suitable for ATL/AFP. A new method for deriving tape courses from any finite element laminate optimisation result is presented and applied to a virtual demonstrator. An outlook is given on further necessities of extending current laminate optimisation approaches.",Computational design methods | Design for X (DfX) | Fibre Reinforced Plastics | Manufacturing | Optimisation,1,1,,undefined,
1982,2-s2.0-85076181038,10.1017/dsj.2019.26,S205347011900026X,,A rapid CAE-based design method for modular hybrid truss structures,ar,Article,Walbrun S.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,3,"Walbrun, Simon;Witzgall, Christian;Wartzack, Sandro",57212194558;57115127700;6506007420,60000765;60000765;60000765,2019-01-01,2019,Design Science,,21100889860,20534701,Journal,5,,e27,,"© The Author(s) 2019. The development of hybrid trusses made of carbon-fiber-reinforced plastic struts and aluminum knots is currently not standardized, and there is no overall method for the design, although it has been proven that mass reduction is feasible. This paper introduces a new method for computer-aided engineering based design of hybrid trusses using carbon-fiber-reinforced plastic struts and metal nodes based on a modular system. The method includes all design steps from topology optimization to computer-aided design model generation and offers support to the engineer. The method is discussed in theory. A case study is done with a beam-shaped truss. It shows that if the bisection optimization method is combined with further constraints, it is suitable for selecting the optimum struts from a modular system for the truss. The developed approach is a suitable method for designing hybrid trusses. The basis of the method has been developed and will be further detailed and extended.",CFRP struts | hybrid truss | modular system | optimization,0,1,BMWi,ZF4222610PO8,Bundesministerium für Wirtschaft und Energie
1983,2-s2.0-85079823598,10.1017/dsi.2019.406,,,Roadmap to consider physiological and psychological aspects of user-product interactions in virtual product engineering,cp,Conference Paper,Wartzack S.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,4,"Wartzack, Sandro;Schröppel, Tina;Wolf, Alexander;Miehling, Jörg",6506007420;57188872370;57197815591;55957750200,60000765;60000765;60000765;60000765,2019-01-01,2019,"Proceedings of the International Conference on Engineering Design, ICED",22204334,21100291832,22204342,Conference Proceeding,2019-August,,,3989-3998,"© 2019 Design Society. All rights reserved. To successfully facilitate user-centred design, a multitude of different aspects has to be considered, from purely physiological to psychological-emotional factors. The overall aim is to increase the customer satisfaction by enhancing the fit between products and their users in the respective context of use. Further virtualisation of user-centred design processes holds the potential to convey the concepts of frontloading and predictive engineering from classical product engineering. Our vision is to facilitate a comprehensive consideration of user-product interactions in virtual product engineering operationalised by the mission to develop methods and tools to assess and design user-product interactions according to physiological and psychological aspects. A variety of work has already been done to model musculoskeletal user groups, to configure, predict, simulate and optimise physical user-product interactions, to integrate such models into CAD or to map individual subjective values to product design. Nevertheless, there are still research areas to be addressed to enable a comprehensive implementation of the mentioned approach. These are discussed in the present contribution.",Affective Engineering | Biomechanical digital human models | Integrated product development | Simulation | User centred design,3,1,DFG,undefined,Deutsche Forschungsgemeinschaft
1984,2-s2.0-85079735638,10.1017/dsi.2019.386,,,A concept for physiological user description in the context of dual user integration,cp,Conference Paper,Schröppel T.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,4,"Schröppel, Tina;Diepold, Theresia;Miehling, Jörg;Wartzack, Sandro",57188872370;57215070293;55957750200;6506007420,60000765;60000765;60000765;60000765,2019-01-01,2019,"Proceedings of the International Conference on Engineering Design, ICED",22204334,21100291832,22204342,Conference Proceeding,2019-August,,,3791-3800,"© 2019 Design Society. All rights reserved. In order to ensure the user's acceptance towards a product, the user has to be captured with all his facets and requirements. In this context, many user-centred design methods only focus on single aspects such as subjective expectation or ergonomic product design. Correlations and connections or a common consideration of several user parameters are often neglected, even if this can provide useful information for improving the design of products. Dual user integration tries to close this gap to a certain extent and considers the user's subjective expectation in combination with their physiological capacities. An integral part of this approach is a target-oriented evaluation of the user. Currently available methods of physiological and subjective evaluation of the user are only partially applicable for dual user integration. Especially physiological measurement techniques are time-consuming and expensive. For this reason, this contribution presents a new concept for capturing and describing the physiological capacity of the user via semantic differentials. Thereby, motor functions, cognition and perception are considered.",Design methods | Dual user integration | Integrated product development | Physiological user description | User centred design,0,1,DFG,undefined,Deutsche Forschungsgemeinschaft
1985,2-s2.0-85079735587,10.1017/dsi.2019.410,,,Towards virtual assessment of human factors: A concept for data driven prediction and analysis of physical user-product interactions,cp,Conference Paper,Wolf A.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,4,"Wolf, Alexander;Binder, Nicole;Miehling, Jörg;Wartzack, Sandro",57197815591;57215065163;55957750200;6506007420,60000765;60000765;60000765;60000765,2019-01-01,2019,"Proceedings of the International Conference on Engineering Design, ICED",22204334,21100291832,22204342,Conference Proceeding,2019-August,,,4029-4038,"© 2019 Design Society. All rights reserved. The early consideration of human factors in product development hugely favours the development of products, which excel with a positive user experience. The virtual environment of product development however, still has significant gaps in the virtual assessment and simulation of human factors, especially for user-product interactions composed of human movements. This motivates us to introduce a concept for data-driven prediction and analysis of user-product interactions. Heart of the concept is a predictive component that models the interaction between the user, represented by a musculoskeletal model, and the product, represented by product characteristics. We describe the implementation of this concept based on a pilot study for a lifting task. Motion capturing was performed to build a database and compare the results of our novel approach. The resulting kinematic and dynamic quantities show similar curve profiles with a small constant offset to the measured data. This indicates that the concept enables the virtual comparison of different designs or concepts regarding human factors.",Data-driven movement prediction | Early design phases | Simulation | User centred design | User-product interaction,4,1,DFG,undefined,Deutsche Forschungsgemeinschaft
1986,2-s2.0-85076771640,10.1016/j.procir.2019.03.198,,,Approaching an ergonomic future: An affordance-based interaction concept for digital human models,cp,Conference Paper,Wolf A.,60028673;60000765,Siemens AG;Friedrich-Alexander-Universität Erlangen-Nürnberg,Munich;Erlangen,Germany;Germany,4,"Wolf, Alexander;Krüger, Daniel;Miehling, Jörg;Wartzack, Sandro",57197815591;55135219900;55957750200;6506007420,60000765;60028673;60000765;60000765,2019-01-01,2019,Procedia CIRP,22128271,21100243809,,Conference Proceeding,84,,,520-525,"© 2019 The Authors. Published by Elsevier B.V. Digital human models offer great potential for the evaluation of physical human factors throughout all phases of product development. Unfortunately, digital human models lack a generic user-product interaction model to use them as universal and truly predictive CAE tools. In this contribution, we propose a concept for a generic and integrated interaction model based on the concept of affordances, the technology of CAD features and posture- and movement-prediction methods. Furthermore, we propose an affordance taxonomy, which shall enable a universal methodical description of interactions occurring during product use.",Affordances | CAD features | Digital human models | Human factors | User centered design; user product interaction,4,1,DFG,undefined,Deutsche Forschungsgemeinschaft
1987,2-s2.0-85062444416,10.30419/TUS-2019-0002,,,Tribological behavior of amorphous carbon coatings on metals for total knee arthroplasty,ar,Article,Rothammer B.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,4,"Rothammer, Benedict;Weikert, Tim;Tremmel, Stephan;Wartzack, Sandro",57204215199;57041070000;14016802100;6506007420,60000765;60000765;60000765;60000765,2019-01-01,January-February 2019,Tribologie und Schmierungstechnik,07243472,14370,,Journal,66,1,,15-24,"© 2019 Expert Verlag. All Rights Reserved. The most common reason for an implant failure is wear, since this leads mainly to an aseptic loosening ofthe implant. Therefore, the aim of this study is to reduce polymeric wear debris of the inlay by using tribologically effective amorphous carbon coatings (DLC, diamond-like carbon) and thus to minimize abrasive wear. For this reason, amorphous carbon coatings were deposited on TÍ6A14V (3.7165; 39 ± 2 HRC) and CoNi35Cr20Mol0 (2.4999; 47 ± 1 HRC). The applied coatings are pure (a-C:H), silicon oxide-(a-C:H:SiO) and titanium-doped (a-C:H:Ti) amorphous carbon coatings containing hydrogen. Initially, the focus is on a screening with regard to the forms of wear. Based on this, wear mechanisms are to be identified in the medium term in order to deduce wear-reducing coating systems. The tribological effectiveness of the carbon coating systems can be favored in particular by a high adhesion on the substrate, so that further attention is paid to the mechanical investigation of adhesion. Subsequently, uncoated and coated samples were tested against medical polyethylene-ultra high molecular weight (PE-UHMW, 1401; HB=33 N/mm2) in a ring-on-disc test lubricated with fetal bovine serum (FBS). The wear particles are usually fibrous or particulate and have a size of at least 33.8 (im. This value is above the critical value of 0.1 Μm, below which increased macrocytic reactions are triggered even with a small abrasion volume, and thus promote the risk of osteolysis and aseptic loosening. A reason for the discrepancy of the particle sizes arises from the different in-vitro test setups (tribometer, knee simulator) and the in-vivo used joint replacement. In general, the wear volume should be kept low for particles in the order of 0.2...0.6 Μm.",Diamond-like carbon (DLC) | Ring-on-disc-test | Total knee arthroplasty | Wear,0,0,,undefined,
1988,2-s2.0-85055845915,10.1007/978-3-030-02053-8_134,,,Biomechanical Digital Human Models: Chances and Challenges to Expand Ergonomic Evaluation,cp,Conference Paper,Peters M.,60113303;60085249;60000765;116676638,CADFEM GmbH;Bundesanstalt für Arbeitsschutz und Arbeitsmedizin;Friedrich-Alexander-Universität Erlangen-Nürnberg;IMK AUTOMOTIVE GMBH,Munich;Dortmund;Erlangen;Chemnitz,Germany;Germany;Germany;Germany,10,"Peters, Markus;Quadrat, Eric;Nolte, Alexander;Wolf, Alexander;Miehling, Jörg;Wartzack, Sandro;Leidholdt, Wolfgang;Bauer, Sebastian;Fritzsche, Lars;Wischniewski, Sascha",57204496182;57204499562;57205786104;57197815591;55957750200;6506007420;42961845800;57189303871;36486233700;16647985500,60085249;60113303;60113303;60000765;60000765;60000765;116676638;116676638;116676638;60085249,2019-01-01,2019,Advances in Intelligent Systems and Computing,21945357,5100152904,,Book Series,876,,,885-890,"© 2019, Springer Nature Switzerland AG. Nowadays, ergonomic evaluation of work can be done using Digital Human Models (DHM). One advantage is to reduce the need for corrective measures by supporting a more prospective ergonomic work design. Although ergonomic models provide useful information for risk assessment, single working tasks with minor changes in work place design are difficult to evaluate. Instead, biomechanical models can analyze single movements or body postures, taking internal forces in muscles and joints into account. Therefore, the main goal of this work is to establish an interface between a biomechanical human model (AnyBody) and the “Editor for manual work activities” (ema) to enrich ergonomic evaluation with biomechanical parameters. First results demonstrate that the automatically generated movements of ema showed some specific deviations relative to the subjects’ movements in experimental conditions. Optimization of kinematic data in AnyBody is necessary to ensure more physiological movements which are highly valuable for ergonomic evaluation.",Anthropometry | Biomechanics | Digital Human Models | Ergonomics | Human factors | Risk assessment,0,0,BMWi,ZF4263601BZ6,Bundesministerium für Wirtschaft und Energie
2053,2-s2.0-85070543813,10.3390/met9080843,,,Fatigue behavior of non-optimized laser-cut medical grade ti-6AL-4V-ELI sheets and the effects of mechanical post-processing,ar,Article,Reck A.,60025616;60018353,Fraunhofer Institute for Material and Beam Technology IWS;Technische Universität Dresden,Dresden;Dresden,Germany;Germany,3,"Reck, André;Zeuner, André Till;Zimmermann, Martina",57194415795;57210388450;24781451800,60018353;60018353;60018353-60025616,2019-08-01,August 2019,Metals,,21100399731,20754701,Journal,9,8,843,,"© 2019 by the authors. Licensee MDPI, Basel, Switzerland. The study presented investigates the fatigue strength of the (α+β) Ti-6Al-4V-ELI titanium alloy processed by laser cutting with and without mechanical post-processing. The surface quality and possible notch effects as a consequence of non-optimized intermediate cutting parameters are characterized and evaluated. The microstructural changes in the heat-affected zone (HAZ) are documented in detail and compared to samples with a mechanically post-processed (barrel grinding, mechanical polishing) surface condition. The obtained results show a significant increase (≈50%) in fatigue strength due to mechanical post-processing correlating with decreased surface roughness and minimized notch effects when compared to the surface quality of the non-optimized laser cutting. The martensitic α’-phase is detected in the HAZ with the formation of distinctive zones compared to the initial equiaxial α+β microstructure. The HAZ could be removed up to 50% by means of barrel grinding and up to 100% through mechanical polishing. A fracture analysis revealed that the fatigue cracks always initiate on the laser-cut edges in the as-cut surface condition, which could be assigned to an irregular macro and micro-notch relief. However, the typical characteristics of the non-optimized laser cutting process (melting drops and significant higher surface roughness) lead to early fatigue failure. The fatigue cracks solely started from the micro-notches of the surface relief and not from the dross. As a consequence, the fatigue properties are dominated by these notches, which lead to significant scatter, as well as decreased fatigue strength compared to the surface conditions with mechanical finishing and better surface quality. With optimized laser-cutting conditions, HAZ will be minimized, and surface roughness strongly decreased, which will lead to significantly improved fatigue strength.",Barrel grinding | Fatigue | Fracture | HAZ | Laser cutting | Notch | Post-processing | Ti-6Al-4V-ELI | Titanium alloys | α’-martensite,4,1,DFG,ZI 1006/14-1,Deutsche Forschungsgemeinschaft
